Brand,Name,Phone,Address,City,Latitude,Longitude
Asus,COMPUAGE INFOCOM LTD,8122099052,"New No 42, Kodambakkam High Rd, MKM Chamber, Nungambakkam, Chennai - 600034",Chennai,13.0508,80.2392
Asus,F1 Info Solution & Service,044-45590081,"Unit No.11, 14&15, Vgp Victory House, Near Sony Centre, Anna Salai - 600002",Chennai,13.0627,80.2775
Asus,Rashi Peripherals Pvt Ltd,044-28362881,"20/1, Club Rd, Chetpet, Behind Shree Mithai, Chennai - 600031",Chennai,13.0797,80.2350
Asus,ASUS Exclusive Store - Avalon,8037761127,"Tower Complex, Gr Fl, Trivandrum Rd, Murugankurichi, Opp Cathedral Church, Tirunelveli - 627002",Tirunelveli,8.7137,77.7552
Asus,Mutech Computers,9150117773,"Shop #23, Trinity Complex, 110 4th Ave, Anna Main Rd, Ashok Nagar, Chennai - 600083",Chennai,13.0406,80.2124
Asus,Rashi Peripherals Coimbatore,0422-2455685,"No. 35, Bharathi Park, 8th Cross, Saibaba Colony, Coimbatore - 641011",Coimbatore,11.0132,76.9668
Dell,Dell Service Center,0452-4353789,"Shop No 65A, Nethaji Road, Opp Rajaji Park, Madurai - 625001",Madurai,9.9197,78.1417
Dell,GBS Systems Madurai,9787015555,"88, 1st Floor, Netaji Road, Madurai - 625001",Madurai,9.9329,78.1235
Dell,Dell Service Center,8144111166,"No.114, 2nd Floor, 100ft Road, Gandhipuram, Coimbatore - 641012",Coimbatore,11.0180,76.9728
Dell,Dell Service Center,8754558899,"No.13, Sastri Road, Thillai Nagar, Trichy - 620018",Trichy,10.8084,78.6908
Dell,Dell Service Center,9585557058,"No.10, Town High School Road, Kumbakonam - 612001",Kumbakonam,10.9649,79.3822
Dell,GBS Systems Ambattur,9841603330,"Plot No 254A, MTH Road, Ambattur Estate, Chennai - 600058",Chennai,13.0992,80.1595
Dell,GBS Systems Ashok Nagar,9841015532,"No.36A, Balaji Complex, 100 ft Road, 1st Avenue, Ashok Nagar, Chennai - 600083",Chennai,13.0427,80.2128
Dell,GBS Systems Porur,9841603545,"No.15, Mount Poonamallee Road, Porur, Chennai - 600116",Chennai,13.0331,80.1637
HP,HP World IT World,8657568665,"Old No157, New No6, Habibullah Rd, T Nagar, Chennai - 600017",Chennai,13.0408,80.2345
HP,Flextronics,7448820067,"1st Floor, CIT Nagar, Nandanam, Chennai - 600035",Chennai,13.0427,80.2347
HP,Deprosys Technologies,8045812944,"Old No.52 New No.83, Bazullah Road, North Usman Road, T Nagar, Chennai - 600017",Chennai,13.0416,80.2361
HP,BT-Jeshurun Infosoft,8045812944,"11, C-Block, 6th St, Shenoy Nagar West, Chennai - 600030",Chennai,13.0851,80.2207
HP,Vishwin Solutions,8045812944,"No.52, Shop No.S1, Tejaneelu Towers, Oragadam Road, Venkatapuram, Ambattur, Chennai - 600053",Chennai,13.1023,80.1590
Lenovo,Lenovo Service Ambattur,9841603545,"Plot No 254A, MTH Road, Ambattur Estate, Chennai - 600058",Chennai,13.0992,80.1595
Lenovo,Lenovo Service Porur,9841603545,"No.15, Mount Poonamallee Road, Porur, Chennai - 600116",Chennai,13.0331,80.1637
Acer,Acer Anna Nagar,"044-43090025,+91-7299956836","Near Kodambakkam Bridge, T Nagar, Chennai-600017",Chennai,13.0425,80.2331
Acer,Acer Porur,9841603545,"No.15, Mount Poonamallee Road, Porur, Chennai - 600116",Chennai,13.0331,80.1637
Asus,Asus OMR,+91-9841983680,"No. 477, 1st Floor, OMR, Thoraipakkam, Chennai - 600097",Chennai,12.9254,80.2269
Asus,Asus Porur,9150117773,"No.15, Mount Poonamallee Road, Porur, Chennai - 600116",Chennai,13.0331,80.1637
